Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

DAFODILCOM    42.20    42.50    40.40    41.10  -0.48    609       893550       36.787
DBH          107.00   109.40   104.50   105.20  -1.68    781       516794       55.613
DELTALIFE     98.30    99.90    98.00    99.20   0.92    459       300371       29.809
DESCO         49.00    49.00    47.50    47.80  -1.24    335       425027       20.530
DHAKABANK     17.90    18.10    17.90    17.90   0.00    169       590893       10.614
DHAKAINS      21.40    21.40    20.70    20.80   0.97    101        81709        1.725
DSHGARME     303.10   304.00   293.00   295.30  -2.64    351        31828        9.488
DSSL          16.40    17.10    16.40    16.80   3.07   1391      2925113       49.318
DUTCHBANGL   109.00   109.50   108.10   108.70   0.18     22         5181        0.563
EASTERNINS    25.40    25.60    25.00    25.30  -0.39     80        78580        1.990
EASTLAND      20.70    21.10    20.60    20.70   0.00    101        92419        1.926
EASTRNLUB   1018.00  1077.30  1006.00  1053.30   3.88    489        19805       20.268
EBL           28.90    29.00    27.90    28.10  -2.09    411       758718       21.446
ECABLES      141.50   143.60   140.00   140.30  -0.78    161        20064        2.828
EHL           47.40    47.70    45.50    46.20  -1.91   1924      2447635      113.676
EMERALDOIL    33.50    35.70    33.40    35.50  -0.84   1819      2043988       71.339
ENVOYTEX      39.80    40.30    39.00    39.20   1.29    203       180934        7.135
EXIMBANK      11.00    11.00    10.80    11.00   0.00    483      3040914       33.309
FAMILYTEX      8.20     8.30     8.10     8.10  -1.22    663      2175498       17.773
FARCHEM       23.40    23.60    22.80    23.00  -1.29   2151      4344041      100.712
FAREASTFIN    11.40    11.50    11.00    11.20  -1.75    262       903354       10.109
FAREASTLIF    64.90    65.50    63.70    64.30  -0.62    110        32589        2.103
FASFIN        14.20    14.20    13.50    13.60  -2.86    523      1696198       23.308
FEKDIL        23.30    24.50    22.70    24.20   3.42    546      1865916       45.039
FIRSTSBANK    12.50    12.70    12.40    12.50   0.00    947      7396369       92.933
FUWANGCER     16.00    16.80    15.90    16.60   5.06   1636      4573839       75.046
FUWANGFOOD    13.30    14.50    13.30    14.50   9.85   2003      5712930       81.813
