Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

DBH          105.20   105.80   103.40   103.50  -1.62    341       108336       11.327
DELTALIFE     99.70   101.00    99.20   100.10   0.91    517       242299       24.266
DESCO         48.20    48.20    47.50    47.60  -0.42    265       212972       10.174
DHAKABANK     17.90    18.10    17.80    17.90   0.00    168       475786        8.538
DHAKAINS      20.90    21.30    20.40    20.60  -0.96     69        67342        1.398
DSHGARME     300.00   315.00   299.00   308.70   4.54    254        20905        6.359
DSSL          17.00    17.50    16.50    16.70  -0.60   1333      3363596       57.294
DUTCHBANGL   108.00   109.00   108.00   108.00  -0.64     42        10100        1.091
EASTERNINS    25.60    25.60    25.20    25.30   0.00    121       327287        8.282
EASTLAND      20.70    20.80    20.40    20.40  -1.45     70        82516        1.693
EASTRNLUB   1098.00  1119.10  1072.10  1119.10   6.25    516        15464       17.158
EBL           28.80    28.80    28.00    28.20   0.36    196      1265151       36.024
ECABLES      140.00   145.60   140.00   140.90   0.43     85         9142        1.298
EHL           46.30    46.50    43.50    44.10  -4.55   1757      1845156       83.288
EMERALDOIL    36.00    39.00    36.00    39.00   9.86   1822      3501507      136.073
ENVOYTEX      39.50    40.60    39.20    39.50   0.77    470      1113239       44.215
EXIMBANK      10.90    11.10    10.90    11.00   0.00    597      6589857       72.673
FAMILYTEX      8.10     8.30     8.10     8.10   0.00    552      2360055       19.266
FARCHEM       23.00    23.50    22.50    22.70  -1.30   1906      4062040       93.563
FAREASTFIN    11.20    11.30    10.90    10.90  -2.68    271       822277        9.096
FAREASTLIF    65.00    65.40    63.10    63.60  -1.09    180        82138        5.271
FASFIN        13.70    13.80    13.20    13.30  -2.21    435      1322379       17.872
FEKDIL        24.40    25.30    24.40    24.70   2.07    668      2379926       59.174
FIRSTSBANK    12.60    12.70    12.50    12.60   0.80    798      4476002       56.481
FUWANGCER     16.70    16.90    16.10    16.30  -1.81    917      2415114       39.776
FUWANGFOOD    14.70    15.20    14.40    14.60   0.69   1693      3633659       53.980
GBBPOWER      21.30    21.50    20.50    20.60  -2.37   1196      3052315       63.839
GEMINISEA    716.00   727.00   716.00   722.30   0.71    427        10423        7.507
GENNEXT        8.10     8.20     7.90     8.00   0.00    659      2429129       19.557
GHAIL         52.20    53.50    51.00    52.90   2.92   1729      3102837      163.055
GHCL          40.50    42.00    40.00    40.30  -0.74    363       243970        9.970
GLAXOSMITH  1556.20  1556.20  1548.00  1549.80  -0.02     20          202        0.313
GLOBALINS     15.40    15.60    15.10    15.40  -1.28    117       183261        2.841
GOLDENSON     18.40    19.50    18.30    19.40   7.78   1403      2308721       44.520
GP           285.00   287.00   285.00   286.90   0.31    500       279652       80.170
GPHISPAT      35.60    36.90    35.50    35.70   0.85   2326      4501692      163.319
GQBALLPEN     69.50    71.60    69.50    70.00   0.29    120        31276        2.202
GREENDELT     47.40    48.60    47.40    47.80   0.21     33         7947        0.381
GSPFINANCE    22.00    22.10    21.40    21.50  -0.46    604      1304633       28.363
HEIDELBCEM   540.00   540.90   539.90   540.50   0.00     90         9305        5.027
HFL           23.80    25.10    23.80    24.70   3.78    286       461412       11.456
HRTEX         35.00    35.00    31.70    32.00  -7.25    592       613652       20.453
HWAWELLTEX    35.50    36.00    35.50    35.60  -1.11     38        38025        1.356
IBNSINA      197.50   202.90   196.60   197.60  -0.65    352        44366        8.848
ICB           98.70    99.50    98.50    98.60  -1.00    145        36394        3.598
IDLC          57.40    57.50    55.00    55.80  -2.45   1476      2045287      114.898
IFADAUTOS     97.70    97.70    94.70    95.30  -1.95   2340      2392089      230.466
IFIC          21.00    21.30    20.70    20.80   0.00    665      3323694       69.757
INTECH        14.40    15.30    14.40    14.80   3.50    722      1483626       22.207
IPDC          43.40    44.70    43.20    43.50   0.93    884      1394086       60.964
ISLAMIBANK    29.30    29.50    29.00    29.10  -0.68    542      1219598       35.630
ISLAMICFIN    18.30    18.50    17.70    17.90  -1.10   1112      3386085       61.497
ISLAMIINS     17.60    18.20    17.30    17.50  -2.23     77        65560        1.152
ITC           49.60    50.80    48.80    49.00   0.00   1270       977102       48.472
JAMUNABANK    15.30    16.00    15.30    15.50   0.65    194       630074        9.869
JAMUNAOIL    181.70   183.00   179.60   180.10  -0.88    431       195428       35.245
JMISMDL      163.50   168.90   163.00   164.10   0.43    467        96220       15.892
KARNAPHULI    15.30    15.30    14.80    14.90  -0.67     84        62891        0.948
KBPPWBIL      20.80    21.40    20.50    20.80   1.96   2376      5036654      105.813
KDSALTD       88.40    88.90    84.50    85.50  -2.29   1003       571904       49.085
KEYACOSMET    11.10    11.80    11.10    11.60   4.50   4005     17769680      205.152
KOHINOOR     376.00   376.00   370.00   372.80  -0.29     88         2672        0.995
KPCL          62.80    63.90    61.60    61.90  -1.28    873       562307       35.048
LAFSURCEML    82.50    84.80    82.00    82.20   0.24   2881      2269043      188.540
LANKABAFIN    32.00    33.40    32.00    32.30   0.94   1442      4087369      133.862
LIBRAINFU    454.90   454.90   440.00   446.10  -0.25    160         4832        2.166
LINDEBD     1297.00  1299.90  1290.00  1290.90  -0.55    262         9989       12.900
MALEKSPIN     16.70    16.70    16.30    16.40   0.00    123       193519        3.181
MARICO      1155.10  1155.10  1136.00  1139.80  -1.37    124         3189        3.656
MATINSPINN    38.30    38.40    38.10    38.30   0.26    135       145400        5.567
MEGHNACEM    109.40   111.80   106.10   108.20  -4.16     59        11305        1.229
MEGHNALIFE    54.20    54.60    53.10    53.60   0.00    138       109391        5.871
MERCANBANK    14.70    14.90    14.60    14.70  -0.68    228      1375717       20.324
MERCINS       16.80    16.90    15.90    16.20  -2.41     90       165860        2.714
MHSML         16.00    16.20    15.90    16.00   0.63    437       896129       14.362
MICEMENT      78.50    81.40    78.50    80.60   2.68    642       414500       33.256
MITHUNKNIT    56.80    59.60    56.70    58.30   3.37   1344       802071       46.710
MJLBD        120.20   121.00   119.70   119.90  -0.50    846       598383       71.939
MONNOSTAF    545.10   550.00   534.00   539.60  -1.30     45          712        0.387
MTB           24.00    24.00    23.30    23.50   0.43    142      1383240       32.643
NATLIFEINS   181.30   182.40   180.20   181.30   0.06    161        20321        3.683
NAVANACNG     67.40    67.40    63.20    63.90  -4.91   1335      1130098       73.927
NBL            9.80     9.80     9.70     9.70   0.00    606      3816360       37.204
NCCBANK       11.20    11.50    11.10    11.40   1.79    365      1432144       16.223
NFML          19.10    19.70    18.90    19.00  -1.04   2024      4427539       85.849
NHFIL         62.90    62.90    59.10    59.60  -1.16    251       110775        6.649
NITOLINS      22.50    22.60    22.30    22.40  -0.88     11         7225        0.162
NORTHRNINS    19.90    20.30    19.20    19.50  -1.52     83        83958        1.665
NPOLYMAR      76.90    77.80    74.30    74.90  -1.83    546       194035       14.830
NTC          657.00   661.50   636.00   639.70  -2.28   1355        60242       38.949
NTLTUBES     129.50   131.40   125.00   125.30  -2.72   2332       502204       63.711
OAL           23.40    24.50    23.40    23.80   2.15   4292      9853921      236.762
OLYMPIC      308.60   310.00   305.20   308.80   0.65    477       156136       48.093
ONEBANKLTD    17.20    18.20    17.10    17.50   2.94    913      4101924       72.725
ORIONINFU     60.00    60.50    58.70    59.10  -1.17    538       249009       14.788
ORIONPHARM    44.40    44.70    41.80    42.50  -3.63   1545      2511455      109.107
PADMAOIL     182.00   182.00   176.00   176.90  -7.14    530       137095       24.346
PARAMOUNT     19.80    20.50    18.10    20.00   0.00    342       102641        1.992
PENINSULA     25.40    25.50    24.50    24.80  -0.80    712      1582922       39.635
PEOPLESINS    17.30    17.80    17.30    17.70  -0.56     14         4341        0.077
PHARMAID     242.20   245.30   240.50   241.80  -0.37    266        34230        8.314
PHENIXINS     23.60    24.20    23.60    24.20   0.41    109       120002        2.896
PHOENIXFIN    26.70    27.00    26.40    26.50  -0.75    331       536109       14.292
PIONEERINS    30.00    30.20    29.70    29.90   0.67     69        99816        2.988
POPULARLIF    71.00    72.00    70.40    70.60  -0.28     98        55848        3.993
POWERGRID     54.10    54.50    53.80    53.90  -0.55    292       180807        9.763
PRAGATIINS    27.40    27.50    26.90    27.00  -1.10     34        16098        0.437
PREMIERBAN     9.00     9.30     9.00     9.20   1.10    528      2200807       20.290
PREMIERCEM    89.00    89.00    86.70    87.10  -0.91    179       220574       19.257
PRIMEBANK     18.00    18.70    17.70    18.00  -0.55    327      2247136       41.490
PRIMEINSUR    18.00    19.30    18.00    18.70   0.54     15         8289        0.155
PRIMELIFE     58.90    60.00    58.60    59.30   0.17    119       111949        6.601
PRIMETEX      24.00    24.80    22.60    23.00  -2.95    640       888130       21.500
PROVATIINS    17.30    17.50    17.20    17.20  -1.71    150       342838        5.959
PTL           19.50    19.90    19.00    19.10  -2.55    595      1004484       19.469
PUBALIBANK    25.10    25.10    24.50    24.90  -1.58    241       308092        7.652
PURABIGEN     16.20    16.60    15.90    16.10   0.00    426       996441       16.216
QSMDRYCELL    95.50    96.40    93.10    93.80  -1.68   1278       607398       57.425
RAHIMTEXT    250.00   260.00   250.00   254.20   0.55    109         6773        1.726
RAKCERAMIC    63.00    63.90    62.10    62.20  -1.43    876       802357       50.462
RANFOUNDRY   108.00   109.00   107.10   108.20   0.19    156        55839        6.027
RDFOOD        18.00    18.60    17.60    17.80  -0.56   1311      2379678       43.500
RELIANCINS    47.00    47.00    46.70    46.90  -0.42     28        15088        0.708
RENATA      1085.00  1090.00  1080.30  1081.20  -0.44    141         7384        7.996
RENWICKJA    634.10   645.00   632.50   640.80   1.28     99         2187        1.402
REPUBLIC      23.20    23.50    22.80    23.40  -0.43    209       361882        8.411
RSRMSTEEL     70.30    71.20    67.10    68.30  -1.87   1703      2365941      164.480
RUPALIBANK    26.00    26.10    25.80    25.90   0.39     59        36273        0.942
RUPALIINS     18.40    18.40    17.50    17.80  -2.73    103       159908        2.877
RUPALILIFE    36.00    37.00    36.00    36.20  -0.82    187       198719        7.217
SAIFPOWER     54.00    54.20    51.90    52.10  -3.52   1631      1616617       85.651
SAIHAMCOT     14.40    14.90    14.40    14.60   1.39    151       417947        6.097
SAIHAMTEX     14.80    15.10    14.50    14.60  -0.68    232       572880        8.524
SALAMCRST     40.00    40.30    38.00    38.20  -3.78   1339      1384872       54.366
SAMORITA      67.70    68.40    67.30    67.60  -0.59    195        87581        5.943
SANDHANINS    32.20    33.00    32.20    32.40  -0.61    208       296098        9.651
SAPORTL       52.40    53.00    49.30    50.10  -4.39   3234      3701171      190.287
SHAHJABANK    14.50    14.50    14.20    14.30  -0.69    130       381412        5.473
SHASHADNIM    70.80    73.30    70.40    71.30   0.99   1553      1323214       94.919
SIBL          17.20    17.20    17.10    17.10   0.00    151       355833        6.106
SIMTEX        21.60    21.60    21.00    21.20  -1.40    138       154116        3.281
SINGERBD     184.10   187.00   184.10   185.90   0.43    564       176353       32.735
SONALIANSH   182.00   185.60   181.50   182.70  -0.60    150        12400        2.272
SONARBAINS    17.30    17.30    16.70    16.90  -1.74     47        28727        0.489
SOUTHEASTB    17.80    17.80    17.50    17.60  -0.56    168       645549       11.411
SPCL         139.20   142.80   138.90   139.60   0.14    660       250921       35.162
SQUARETEXT    70.20    70.30    69.70    70.10  -0.99     50        27270        1.912
SQURPHARMA   246.10   247.00   245.80   246.10   0.29   1651      1103816      271.614
STANCERAM     53.20    53.50    52.80    53.30   1.14    125        48396        2.573
STANDARINS    19.40    19.40    18.30    18.80  -0.53     40        15755        0.293
STANDBANKL    11.70    11.70    11.40    11.50   0.00    302      1657068       19.179
STYLECRAFT  1435.00  1455.00  1427.00  1445.50   0.82     63         1263        1.817
SUMITPOWER    36.80    37.50    36.80    37.30   1.36    605      1124452       41.951
TAKAFULINS    17.50    18.30    17.50    18.00  -1.10     27        37806        0.679
TITASGAS      47.40    47.40    46.90    47.10   0.00    367       478224       22.505
TOSRIFA       19.50    19.50    18.60    18.80  -0.53    404       673860       12.784
TRUSTBANK     23.50    23.60    23.10    23.20  -0.85    218       849759       19.864
TUNGHAI       11.10    11.20    10.90    11.00   0.92    440      1514186       16.780
UCB           20.20    20.50    20.10    20.20   0.00    432      1633857       33.261
UNIONCAP      17.80    18.30    17.20    17.30  -2.26    979      2993534       53.014
UNIQUEHRL     48.20    48.70    46.30    46.50  -3.73   1370      1268681       60.010
UNITEDFIN     22.50    23.10    22.10    22.30  -2.19    342      1167390       26.493
UPGDCL       140.00   140.90   139.90   140.00  -0.14    568       172158       24.120
