Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

FASFIN        11.50    11.80    11.40    11.50   0.00    427      1495747       17.387
FEKDIL        22.90    22.90    22.30    22.30  -1.76    147       193269        4.339
FIRSTSBANK    12.00    12.50    11.80    12.10   0.83   1237      9165046      111.992
FUWANGCER     13.50    14.30    13.50    14.20   5.97    565      2408241       33.729
FUWANGFOOD    12.30    12.70    12.20    12.50   1.63    234       342883        4.300
GBBPOWER      14.90    15.00    14.70    14.80   0.68    306       482808        7.175
GEMINISEA    789.00   800.00   777.70   779.90  -1.47    796        16088       12.610
GENNEXT        6.80     7.00     6.80     6.90   1.47    247       719720        4.953
GHAIL         36.40    37.30    35.40    35.70  -1.92   1517      4207837      153.226
GHCL          37.70    38.20    37.40    37.60  -0.53    276       260155        9.821
GLAXOSMITH  1565.00  1582.00  1565.00  1566.90  -0.08      8           26        0.041
GLOBALINS     13.00    13.20    12.90    13.10   1.55    159       241548        3.151
GOLDENSON     15.20    15.50    15.00    15.40   1.32    447       514684        7.897
GP           281.80   284.50   281.70   283.90   1.10   1110       684451      193.900
GREENDELT     46.80    47.00    46.60    46.60  -0.43     32         7529        0.352
GSPFINANCE    20.30    20.70    20.20    20.30   1.00    810      1889054       38.589
HEIDELBCEM   545.20   547.40   545.00   545.10  -0.02    178        19621       10.699
HFL           21.90    22.20    21.10    21.40  -1.83    289       369679        7.967
HRTEX         22.50    23.20    22.50    22.90   2.69    135       101108        2.312
IBNSINA      212.30   215.60   210.00   211.90   0.09    447        82720       17.492
ICB           99.10   101.30    99.00    99.20  -0.70    240        43199        4.298
IDLC          60.00    60.30    59.80    60.20   0.84    274       268435       16.138
IFIC          18.40    19.20    18.10    19.10   4.95    911      2342259       44.381
INTECH        11.40    11.70    11.40    11.60   1.75    217       302800        3.495
IPDC          42.80    43.70    42.40    42.70  -0.47   1156      1715673       73.551
ISLAMIBANK    29.40    30.60    29.40    30.20   2.72    647      1367255       41.369
ISLAMICFIN    15.40    15.80    15.40    15.60   0.65    393      1258050       19.697
ISLAMIINS     17.20    17.40    16.90    17.00  -1.16     49        38950        0.668
JAMUNABANK    14.40    14.70    14.40    14.60   1.39     68        79723        1.163
JAMUNAOIL    193.10   194.00   192.50   192.90   0.00    307       109295       21.091
JMISMDL      158.40   159.90   155.10   155.80  -0.83    558        87435       13.769
KARNAPHULI    13.90    14.50    13.90    14.30   0.70     81       341672        4.944
