Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

DELTALIFE     98.10    99.00    97.50    98.30   0.41    313       142775       14.007
DESCO         48.50    48.90    48.10    48.40   0.21    261       255706       12.377
DHAKABANK     17.80    18.10    17.50    17.90   1.13    237       849086       15.165
DHAKAINS      20.70    21.30    20.40    20.60   0.49    132       210260        4.345
DSHGARME     306.50   311.30   302.00   303.30  -1.62    187        13244        4.043
DSSL          16.40    16.80    16.10    16.30  -0.61   1217      2516138       41.200
DUTCHBANGL   109.00   109.00   108.00   108.50  -1.09    187        81490        8.812
EASTERNINS    24.90    25.70    24.90    25.40   1.60     38       112376        2.851
EASTLAND      20.70    21.00    20.00    20.70   0.00     76        75445        1.553
EBL           28.80    29.00    28.60    28.70  -0.69     84       209274        6.023
ECABLES      141.50   147.40   141.00   141.40  -1.46    222        30477        4.328
EHL           46.00    47.80    44.90    47.10   3.06   2097      3010461      140.636
ENVOYTEX      39.10    39.60    38.50    38.70  -0.77    203       212699        8.252
EXIMBANK      10.90    11.00    10.80    11.00   0.92    296      1361924       14.847
FAMILYTEX      8.30     8.40     8.10     8.20  -4.65    765      2378375       19.415
FARCHEM       22.90    23.40    22.40    23.30   1.75   2599      5175023      118.719
FAREASTFIN    11.00    11.50    11.00    11.40   3.64    592      1890082       21.250
FAREASTLIF    64.70    65.40    64.60    64.70  -0.31     46        33116        2.151
FASFIN        13.80    14.20    13.70    14.00   2.19    897      2656326       37.196
FEKDIL        23.60    23.80    23.30    23.40  -0.85    368       967448       22.769
FIRSTSBANK    12.40    12.50    12.20    12.50   1.63    661      3022708       37.518
FUWANGCER     16.00    16.10    15.80    15.80  -0.63    634      1589699       25.278
FUWANGFOOD    13.30    13.40    13.10    13.20  -0.75    474       945861       12.537
GBBPOWER      19.00    20.80    18.80    20.60   6.19   1644      4788608       96.947
GEMINISEA    743.90   743.90   719.00   721.00  -0.61    455         8394        6.063
GENNEXT        8.20     8.20     7.90     8.00  -1.23    886      4717531       37.851
GHAIL         54.00    55.30    53.20    54.50   0.00   1573      3159675      172.720
GHCL          42.20    42.30    40.80    41.10  -1.67    385       338070       13.896
GLAXOSMITH  1553.40  1560.00  1553.00  1553.70  -0.49     42          324        0.504
GLOBALINS     14.30    14.50    14.30    14.40   0.70     34        28174        0.405
GOLDENSON     18.40    18.40    17.90    18.00  -0.55    332       348350        6.286
GP           287.70   287.80   285.00   285.60  -0.45    296        55152       15.789
GPHISPAT      33.80    34.50    33.50    34.20   1.18   1428      2550959       87.280
GQBALLPEN     72.00    72.00    70.30    70.60  -1.53    191        59709        4.239
GREENDELT     47.20    48.50    47.20    47.60  -0.21     19         1841        0.088
GSPFINANCE    22.30    22.80    22.00    22.20  -0.45   1106      4075894       91.089
HEIDELBCEM   541.50   541.50   541.00   541.30  -0.40    154        16583        8.975
HFL           24.00    24.20    23.50    23.70  -1.66    188       469625       11.293
HRTEX         30.60    33.60    30.60    33.50   9.48    638      1069716       34.718
HWAWELLTEX    34.90    35.80    34.90    35.60   0.85     41        24919        0.883
IBNSINA      206.40   208.00   198.60   199.60  -1.24    642        88757       17.800
ICB          100.20   100.40    98.70    99.00  -0.10    167        38387        3.813
IDLC          50.00    52.10    50.00    52.10 -14.73   1181      2380397      122.191
IFADAUTOS     91.00    97.40    91.00    96.40   5.82   3099      2940270      277.073
IFIC          20.60    20.80    20.30    20.60   0.49    653      1623216       33.380
INTECH        14.40    14.40    14.10    14.20  -0.70    357       487911        6.920
IPDC          41.50    43.90    41.50    42.80   4.39    784       972120       41.763
ISLAMIBANK    29.40    29.50    29.20    29.40   0.00    348       863625       25.363
