Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

DESCO         49.50    49.80    48.00    48.40  -2.02    387       302273       14.689
DHAKABANK     17.60    17.80    17.40    17.50   0.00    102       460777        8.101
DHAKAINS      21.60    21.60    20.90    21.10  -1.86    129       133918        2.838
DSHGARME     335.00   335.00   320.30   324.40  -0.83    343        30479        9.950
DSSL          14.70    16.00    14.70    16.00   9.59   3037      7776045      123.122
DUTCHBANGL   109.00   109.40   108.70   109.00   0.37    110        25759        2.806
EASTERNINS    25.90    26.40    25.80    26.00  -0.76     31        42615        1.109
EASTLAND      21.10    21.10    20.70    20.80  -0.48     47        41300        0.862
EASTRNLUB    954.60   954.60   925.00   929.80  -0.43    293         5598        5.203
EBL           29.10    29.10    28.90    29.00   0.00     88       573132       16.627
ECABLES      150.00   156.00   148.00   151.30   2.58    477        95779       14.556
EHL           42.00    42.50    41.60    42.00   0.48    517       512594       21.546
EMERALDOIL    33.20    33.90    33.00    33.70   2.74    431       420545       14.022
ENVOYTEX      40.90    41.20    39.80    40.20  -0.99    388       335120       13.581
EXIMBANK      10.90    11.10    10.90    11.00   0.92    377      1955030       21.447
FAMILYTEX      8.20     8.30     8.10     8.10  -1.22    524      1801496       14.701
FARCHEM       21.00    21.10    20.70    20.80   0.00    979      1703292       35.554
FAREASTFIN    10.70    11.20    10.70    11.10   3.74    330       947976       10.446
FAREASTLIF    65.00    66.20    64.90    65.70   0.15     51        15364        1.010
FASFIN        13.40    14.10    13.40    13.80   5.34    950      3408916       46.943
FEKDIL        24.10    24.80    24.00    24.30   2.10    533      1719447       41.836
FIRSTSBANK    12.30    12.40    12.20    12.30   0.82    456      2758461       33.944
FUWANGCER     16.20    16.20    15.80    15.80  -2.47   1074      2766032       44.216
FUWANGFOOD    14.10    14.20    13.60    13.70  -2.14    704      1660883       22.946
GBBPOWER      18.00    18.80    18.00    18.50   1.65   1123      3879215       71.617
GEMINISEA    762.00   762.00   745.50   750.40  -1.07    415         9553        7.187
GENNEXT        7.80     8.00     7.80     7.90   0.00    828      4155547       32.936
GHAIL         48.50    50.40    47.50    48.80   2.09   1664      2677556      130.281
GHCL          38.60    38.70    38.00    38.10  -0.78    245       174410        6.657
GLAXOSMITH  1580.00  1596.00  1575.00  1584.20   0.89     22          182        0.288
GLOBALINS     14.10    14.50    14.00    14.10   0.00     48        73763        1.047
GOLDENSON     18.40    18.90    18.30    18.60   3.33    927      1430212       26.493
GP           286.20   288.80   286.20   288.10   0.45    630       287819       82.910
GPHISPAT      31.70    31.70    30.90    31.60   0.32    739      1274212       39.919
GQBALLPEN     75.20    75.80    73.50    74.00  -1.33    382       131688        9.863
GREENDELT     50.00    50.00    48.50    49.40  -1.00      8         2963        0.146
