DHAKA STOCK EXCHANGE LTD.

                  TODAY'S SHARE MARKET : 2016-12-12
                  =================================


All Category

    ISSUES ADVANCED                 :                    131
    ISSUES DECLINED                 :                    141
    ISSUES UNCHANGED                :                     53
    TOTAL ISSUES TRADED             :                    325


A Category (Equity)

    ISSUES ADVANCED                 :                    105
    ISSUES DECLINED                 :                    115
    ISSUES UNCHANGED                :                     43
    TOTAL ISSUES TRADED             :                    263


B Category (Equity)

    ISSUES ADVANCED                 :                      5
    ISSUES DECLINED                 :                      3
    ISSUES UNCHANGED                :                      2
    TOTAL ISSUES TRADED             :                     10


N Category (Equity)

    ISSUES ADVANCED                 :                      4
    ISSUES DECLINED                 :                      2
    ISSUES UNCHANGED                :                      1
    TOTAL ISSUES TRADED             :                      7


Z Category (Equity)

    ISSUES ADVANCED                 :                     17
    ISSUES DECLINED                 :                     21
    ISSUES UNCHANGED                :                      7
    TOTAL ISSUES TRADED             :                     45


MUTUAL FUND (MF)

    ISSUES ADVANCED                 :                      4
    ISSUES DECLINED                 :                     14
    ISSUES UNCHANGED                :                     16
    TOTAL ISSUES TRADED             :                     34


CORPORATE BOND (CB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      1
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      1


TREASURY BOND (TB)

    ISSUES ADVANCED                 :                      0
    ISSUES DECLINED                 :                      0
    ISSUES UNCHANGED                :                      0
    TOTAL ISSUES TRADED             :                      0


TOTAL TRANSACTIONS

    A. NO. OF TRADES                :                 146849
    B. VOLUME(Nos.)                 :              213808906
    C. VALUE(Tk)                    :          7412365290.40



MARKET CAPITALISATION

    1. EQUITY                       :       2765599889428.41
    2. MUTUAL FUND                  :         32255264960.04
    3. DEBT SECURITIES              :        555159564870.00
    TOTAL                           :       3353014719258.45




                   PRICES IN PUBLIC TRANSACTIONS : 2016-12-12
                   ==========================================

A Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AAMRATECH     33.00    33.10    31.80    32.10  -2.43   1015      1463224       47.437
ABBANK        21.50    21.50    20.80    21.10  -0.94   1080      2956395       62.430
ACI          396.00   396.90   390.00   391.50  -1.24   1403       114054       44.846
ACIFORMULA   154.20   154.90   153.00   154.70   0.19    319        75449       11.647
ACTIVEFINE    41.80    42.20    41.00    41.90   0.24   1789      2065396       85.864
AFCAGRO       52.10    53.00    50.50    52.60   0.57   2191      2818188      145.932
AFTABAUTO     58.70    59.40    57.20    57.70  -1.54   1442      1315241       76.343
AGNISYSL      20.60    20.70    20.20    20.40  -0.97    491       804386       16.453
AGRANINS      21.00    22.00    21.00    21.80   2.35     91       125220        2.726
AL-HAJTEX     90.80    91.70    89.10    90.20  -0.33    754       164056       14.827
ALARABANK     15.00    15.10    15.00    15.00   0.00     96       253574        3.807
AMANFEED      70.90    71.90    70.80    71.40   0.28    414       312465       22.310
AMCL(PRAN)   206.50   206.80   203.80   205.50   0.29     55        18890        3.882
ANLIMAYARN    29.70    30.50    28.40    30.10   2.38    612       548426       16.295
APEXFOODS    148.80   151.80   147.50   148.00  -0.54    397        55077        8.202
APEXFOOT     345.90   345.90   336.10   338.30  -0.94    608        64985       22.133
APEXSPINN    113.00   115.30   112.80   113.20  -0.35    198        38043        4.327
APEXTANRY    135.50   135.50   132.00   132.30  -1.27    146        44809        5.945
APOLOISPAT    16.90    17.50    16.60    17.40   2.96   2499      7847762      133.541
ARAMIT       355.00   365.90   352.00   357.90   1.36    238        16067        5.777
ARAMITCEM     34.20    34.30    33.70    33.90  -0.88    225       129687        4.396
ARGONDENIM    32.10    33.00    31.20    32.20   1.26   1944      2357082       76.008
ASIAINS       18.40    18.50    17.90    18.20  -1.09     45        46450        0.840
ASIAPACINS    19.20    19.30    19.00    19.20   0.00     17        15849        0.304
ATLASBANG    110.70   112.00   109.90   110.40   0.09    274        47024        5.217
BANKASIA      18.00    18.20    18.00    18.00   0.00     94       190589        3.433
